                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.00214,                 0.8644,                      1,                0.51138,               0.003332,               0.003332,               0.003332
                      1,                0.00215,                 0.8644,                      1,                0.51297,              0.0064454,              0.0064454,              0.0064454
                      2,                0.00221,                 0.8644,                      1,                0.51235,              0.0093388,              0.0093388,              0.0093388
                      3,                0.00224,                 0.8644,                      1,                0.51164,                0.00901,                0.00901,                0.00901
                      4,                 0.0023,                 0.8772,                      1,                0.49457,                0.00901,                0.00901,                0.00901
                      5,                0.00221,                 0.8644,                      1,                0.50957,                0.00868,                0.00868,                0.00868
                      6,                0.00225,                 0.8644,                      1,                0.50989,                0.00835,                0.00835,                0.00835
                      7,                0.00225,                 0.8644,                      1,                0.51884,                0.00802,                0.00802,                0.00802
                      8,                 0.0022,                 0.8644,                      1,                0.51828,                0.00769,                0.00769,                0.00769
                      9,                0.00226,                 0.8644,                      1,                0.50918,                0.00736,                0.00736,                0.00736
                     10,                0.00222,                 0.8834,                      1,                0.49442,                0.00703,                0.00703,                0.00703
                     11,                0.00223,                 0.8706,                      1,                0.50563,                 0.0067,                 0.0067,                 0.0067
                     12,                0.00219,                 0.8644,                      1,                0.50256,                0.00637,                0.00637,                0.00637
                     13,                0.00221,                 0.8672,                      1,                0.49862,                0.00604,                0.00604,                0.00604
                     14,                0.00218,                 0.8646,                      1,                0.50253,                0.00571,                0.00571,                0.00571
                     15,                0.00219,                 0.8644,                      1,                0.50575,                0.00538,                0.00538,                0.00538
                     16,                0.00219,                 0.8644,                      1,                 0.5047,                0.00505,                0.00505,                0.00505
                     17,                0.00218,                 0.8644,                      1,                0.50694,                0.00472,                0.00472,                0.00472
                     18,                0.00219,                 0.8644,                      1,                0.50797,                0.00439,                0.00439,                0.00439
                     19,                0.00222,                 0.8686,                      1,                0.50186,                0.00406,                0.00406,                0.00406
                     20,                0.00218,                 0.8708,                      1,                0.49875,                0.00373,                0.00373,                0.00373
                     21,                0.00214,                 0.8932,                      1,                 0.4938,                 0.0034,                 0.0034,                 0.0034
                     22,                0.00218,                 0.9196,                      1,                0.48806,                0.00307,                0.00307,                0.00307
                     23,                0.00217,                 0.9272,                      1,                0.48661,                0.00274,                0.00274,                0.00274
                     24,                0.00216,                 0.9272,                      1,                0.48638,                0.00241,                0.00241,                0.00241
                     25,                0.00215,                 0.9272,                      1,                0.48631,                0.00208,                0.00208,                0.00208
                     26,                0.00216,                 0.9272,                      1,                0.48644,                0.00175,                0.00175,                0.00175
                     27,                0.00214,                 0.9272,                      1,                0.48662,                0.00142,                0.00142,                0.00142
                     28,                0.00215,                 0.9242,                      1,                0.48723,                0.00109,                0.00109,                0.00109
                     29,                0.00214,                 0.9216,                      1,                0.48779,                0.00076,                0.00076,                0.00076
